#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,,,,,,,,,,,,,,,,,,,,
,World,379458555,672399,5693849,2100,299451191,579907,74313515,92903,48681,731,,,,All,"
",,,,,
,,,,,,,,,,,,,,,,,,,,,
1,USA,76222215,,910104,,46242222,,29069889,23104,228161,2724,902069547,2700222,334072410,North America,4,367,0,,,"87,017"
,,,,,,,,,,,,,,,,,,,,,
2,India,41469499,,496268,,39230198,,1743033,8944,29590,354,730697193,521384,1401457882,Asia,34,"2,824",2,,,"1,244"
,,,,,,,,,,,,,,,,,,,,,
3,Brazil,25454105,,627365,,22196442,,2630298,8318,118419,2919,63776166,296704,214948937,South America,8,343,3,,,"12,237"
,,,,,,,,,,,,,,,,,,,,,
4,France,19140730,,130931,,12442332,,6567467,3641,292216,1999,231648947,3536519,65501972,Europe,3,500,0,,,"100,264"
,,,,,,,,,,,,,,,,,,,,,
5,UK,17315893,,155754,,13484929,,3675210,535,252971,2275,453080067,6619138,68450014,Europe,4,439,0,,,"53,692"
,,,,,,,,,,,,,,,,,,,,,
6,Russia,11986913,125836,332012,663,10288582,40301,1366319,2300,82083,2274,247600000,1695502,146033446,Europe,12,440,1,862,5,"9,356"
,,,,,,,,,,,,,,,,,,,,,
7,Turkey,11619882,,87416,,10911159,,621307,1128,135471,1019,131306740,1530846,85773996,Asia,7,981,1,,,"7,244"
,,,,,,,,,,,,,,,,,,,,,
8,Italy,10983116,,146498,,8244012,,2592606,1584,182077,2429,170631727,2828720,60321187,Europe,5,412,0,,,"42,980"
,,,,,,,,,,,,,,,,,,,,,
9,Spain,9961253,,93225,,6201520,,3666508,2060,212923,1993,66213858,1415327,46783424,Europe,5,502,1,,,"78,372"
,,,,,,,,,,,,,,,,,,,,,
10,Germany,9896344,,118527,,7705000,82600,2072817,2274,117523,1408,89622218,1064300,84207684,Europe,9,710,1,,,"24,616"
,,,,,,,,,,,,,,,,,,,,,
11,Argentina,8378656,,121273,,7706670,,550713,2909,182734,2645,32569779,710331,45851575,South America,5,378,1,,,"12,011"
,,,,,,,,,,,,,,,,,,,,,
12,Iran,6408244,35070,132504,50,6110615,4173,165125,1703,74782,1546,44694344,521566,85692557,Asia,13,647,2,409,0.6,"1,927"
,,,,,,,,,,,,,,,,,,,,,
13,Colombia,5887261,,134300,,5661163,,91798,342,113785,2596,32157058,621508,51740413,South America,9,385,2,,,"1,774"
,,,,,,,,,,,,,,,,,,,,,
14,Mexico,4942590,12521,306091,198,4070755,45774,565744,4798,37708,2335,14087509,107477,131074627,North America,27,428,9,96,2,"4,316"
,,,,,,,,,,,,,,,,,,,,,
15,Poland,4925270,39114,105434,239,4043032,29602,776804,1058,130364,2791,30678760,812015,37781040,Europe,8,358,1,"1,035",6,"20,561"
,,,,,,,,,,,,,,,,,,,,,
16,Netherlands,4432535,,21277,,3144516,33043,1266742,212,257783,1237,21107399,1227543,17194841,Europe,4,808,1,,,"73,670"
,,,,,,,,,,,,,,,,,,,,,
17,Indonesia,4353370,,144320,,4140454,,68596,465,15654,519,71974781,258812,278096847,Asia,64,"1,927",4,,,247
,,,,,,,,,,,,,,,,,,,,,
18,Ukraine,4095263,30768,100395,192,3631580,8835,363288,177,94539,2318,18113574,418153,43318105,Europe,11,431,2,710,4,"8,387"
,,,,,,,,,,,,,,,,,,,,,
19,South Africa,3605222,,95093,,3456461,,53668,546,59599,1572,22268519,368130,60490871,Africa,17,636,3,,,887
,,,,,,,,,,,,,,,,,,,,,
20,Philippines,3569665,9493,54054,51,3339558,24210,176053,326,31904,483,27345917,244407,111886776,Asia,31,"2,070",4,85,0.5,"1,573"
,,,,,,,,,,,,,,,,,,,,,
21,Peru,3239538,,205834,,N/A,N/A,N/A,1339,96135,6108,25338842,751941,33697920,South America,10,164,1,,,"38,965"
,,,,,,,,,,,,,,,,,,,,,
22,Belgium,3155239,26972,29052,28,2076386,15686,1049801,387,270386,2490,30239076,2591314,11669399,Europe,4,402,0,"2,311",2,"89,962"
,,,,,,,,,,,,,,,,,,,,,
23,Canada,3055155,,33873,,2811924,,209358,1211,79841,885,56389990,1473653,38265439,North America,13,"1,130",1,,,"5,471"
,,,,,,,,,,,,,,,,,,,,,
24,Czechia,3043084,29514,37243,11,2705480,26763,300361,196,283330,3468,50225243,4676289,10740406,Europe,4,288,0,"2,748",1,"27,966"
,,,,,,,,,,,,,,,,,,,,,
25,Israel,2900576,,8805,,2444475,,447296,1139,311020,944,41373364,4436346,9326000,Asia,3,"1,059",0,,,"47,962"
,,,,,,,,,,,,,,,,,,,,,
26,Malaysia,2870758,,31978,,2784003,,54777,114,86936,968,44663753,1352562,33021586,Asia,12,"1,033",1,,,"1,659"
,,,,,,,,,,,,,,,,,,,,,
27,Japan,2730828,61190,18792,28,2096354,51337,615682,804,21697,149,33640903,267280,125863968,Asia,46,"6,698",4,486,0.2,"4,892"
,,,,,,,,,,,,,,,,,,,,,
28,Portugal,2639802,,19905,,2033747,,586150,160,260087,1961,33409187,3291651,10149676,Europe,4,510,0,,,"57,751"
,,,,,,,,,,,,,,,,,,,,,
29,Australia,2579240,34204,3835,77,2242246,,333159,376,99325,148,61133279,2354208,25967665,Australia/Oceania,10,"6,771",0,"1,317",3,"12,830"
,,,,,,,,,,,,,,,,,,,,,
30,Thailand,2447964,7422,22188,12,2342765,8715,83011,542,34932,317,17270775,246454,70077015,Asia,29,"3,158",4,106,0.2,"1,185"
,,,,,,,,,,,,,,,,,,,,,
31,Vietnam,2286750,11023,37777,,2062058,39608,186915,3315,23163,383,77232838,782315,98723502,Asia,43,"2,613",1,112,,"1,893"
,,,,,,,,,,,,,,,,,,,,,
32,Romania,2256543,40018,60122,95,1919254,19732,277167,937,118549,3159,19231672,1010350,19034669,Europe,8,317,1,"2,102",5,"14,561"
,,,,,,,,,,,,,,,,,,,,,
33,Switzerland,2244090,22347,12828,1,1347586,9358,883676,206,256329,1465,17039007,1946267,8754714,Europe,4,682,1,"2,553",0.1,"100,937"
,,,,,,,,,,,,,,,,,,,,,
34,Iraq,2210582,,24389,,2110752,,75441,154,53077,586,17421824,418308,41648357,Asia,19,"1,708",2,,,"1,811"
,,,,,,,,,,,,,,,,,,,,,
35,Chile,2165984,,39721,,1768677,,357586,435,111789,2050,29940233,1545248,19375685,South America,9,488,1,,,"18,455"
,,,,,,,,,,,,,,,,,,,,,
36,Sweden,2070456,,15820,,1326414,5292,728222,99,203009,1551,16513425,1619144,10198859,Europe,5,645,1,,,"71,402"
,,,,,,,,,,,,,,,,,,,,,
37,Greece,1940723,,23500,,1700124,,217099,576,187645,2272,56947277,5506136,10342512,Europe,5,440,0,,,"20,991"
,,,,,,,,,,,,,,,,,,,,,
38,Austria,1881472,25894,14127,24,1560133,24546,307212,180,207036,1555,142789153,15712402,9087672,Europe,5,643,0,"2,849",3,"33,805"
,,,,,,,,,,,,,,,,,,,,,
39,Bangladesh,1811987,13154,28425,31,1570934,2721,212628,1516,10832,170,12523775,74865,167283773,Asia,92,"5,885",13,79,0.2,"1,271"
,,,,,,,,,,,,,,,,,,,,,
40,Serbia,1677798,,13629,,1386297,,277872,147,193257,1570,8132088,936693,8681696,Europe,5,637,1,,,"32,007"
,,,,,,,,,,,,,,,,,,,,,
41,Denmark,1667768,,3755,,1117188,,546825,32,286338,645,119690385,20549596,5824464,Europe,3,"1,551",0,,,"93,884"
,,,,,,,,,,,,,,,,,,,,,
42,Hungary,1562827,9422,41471,66,1291499,11100,229857,169,162430,4310,10089540,1048640,9621547,Europe,6,232,1,979,7,"23,890"
,,,,,,,,,,,,,,,,,,,,,
43,Pakistan,1430366,5327,29301,32,1295390,3665,105675,1500,6283,129,25073585,110131,227669746,Asia,159,"7,770",9,23,0.1,464
,,,,,,,,,,,,,,,,,,,,,
44,Kazakhstan,1238954,5466,13260,18,1085679,15816,140015,528,64759,693,11575012,605014,19131796,Asia,15,"1,443",2,286,0.9,"7,318"
,,,,,,,,,,,,,,,,,,,,,
